workerid,proliferate.condition,AttendedTalkerLabel,error
495,Condition.54_M_L_A_Sh_01_B_0_1,Sh,
451,Condition.47_M_L_A_S_05_B_1_0,S,
445,Condition.61_M_L_A_Sh_05_B_0_0,Sh,
455,Condition.49_M_L_A_Sh_01_A_0_0,Sh,
493,Condition.57_M_L_A_Sh_05_A_0_0,Sh,
535,Condition.34_M_L_A_S_01_A_0_1,S,
546,Condition.15_F_L_A_S_05_B_1_0,S,
544,Condition.58_M_L_A_Sh_05_A_0_1,Sh,
501,Condition.8_F_L_A_S_01_B_1_1,S,
531,Condition.41_M_L_A_S_05_A_0_0,S,
490,Condition.21_F_L_A_Sh_01_B_0_0,Sh,
461,Condition.31_F_L_A_Sh_05_B_1_0,Sh,
539,Condition.7_F_L_A_S_01_B_1_0,S,
533,Condition.12_F_L_A_S_05_A_1_1,S,
509,Condition.12_F_L_A_S_05_A_1_1,S,
446,Condition.20_F_L_A_Sh_01_A_1_1,Sh,
483,Condition.40_M_L_A_S_01_B_1_1,S,
534,Condition.30_F_L_A_Sh_05_B_0_1,Sh,
481,Condition.42_M_L_A_S_05_A_0_1,S,
523,Condition.23_F_L_A_Sh_01_B_1_0,Sh,
517,Condition.23_F_L_A_Sh_01_B_1_0,Sh,
469,Condition.62_M_L_A_Sh_05_B_0_1,Sh,
452,Condition.52_M_L_A_Sh_01_A_1_1,Sh,
511,Condition.33_M_L_A_S_01_A_0_0,S,
470,Condition.37_M_L_A_S_01_B_0_0,S,
465,Condition.39_M_L_A_S_01_B_1_0,S,
456,Condition.13_F_L_A_S_05_B_0_0,S,
454,Condition.29_F_L_A_Sh_05_B_0_0,Sh,
472,Condition.53_M_L_A_Sh_01_B_0_0,Sh,
537,Condition.55_M_L_A_Sh_01_B_1_0,Sh,
467,Condition.56_M_L_A_Sh_01_B_1_1,Sh,
548,Condition.22_F_L_A_Sh_01_B_0_1,Sh,
460,Condition.19_F_L_A_Sh_01_A_1_0,Sh,
447,Condition.16_F_L_A_S_05_B_1_1,S,
443,Condition.11_F_L_A_S_05_A_1_0,S,
453,Condition.10_F_L_A_S_05_A_0_1,S,
494,Condition.18_F_L_A_Sh_01_A_0_1,Sh,
550,Condition.36_M_L_A_S_01_A_1_1,S,
549,Condition.59_M_L_A_Sh_05_A_1_0,Sh,
543,Condition.6_F_L_A_S_01_B_0_1,S,
448,Condition.3_F_L_A_S_01_A_1_0,S,
524,Condition.24_F_L_A_Sh_01_B_1_1,Sh,
521,Condition.24_F_L_A_Sh_01_B_1_1,Sh,
482,Condition.46_M_L_A_S_05_B_0_1,S,
540,Condition.35_M_L_A_S_01_A_1_0,S,
508,Condition.5_F_L_A_S_01_B_0_0,S,
458,Condition.26_F_L_A_Sh_05_A_0_1,Sh,
449,Condition.60_M_L_A_Sh_05_A_1_1,Sh,
444,Condition.2_F_L_A_S_01_A_0_1,S,
485,Condition.9_F_L_A_S_05_A_0_0,S,
504,Condition.50_M_L_A_Sh_01_A_0_1,Sh,
541,Condition.45_M_L_A_S_05_B_0_0,S,
463,Condition.51_M_L_A_Sh_01_A_1_0,Sh,
